SampleID,Season,Tide.regime,Date,ShortDate,Time,DateFull,Epoch_timestamp,TideShort,Tide,DateTide,DateOrder,SampleType,Well,Depth,DepthMSL,depth_bin,DistanceMSL,DistanceW1,cluster,Temperature,Salinity,DO_mg.l,DO_uM,pH,Nitrite,Nitrate,Phosphate,Ammonium,Cells_mL,DOC,TN,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,Lignin,BIX,HIX,FI,M_to_C
240222_L_W3D4,February 2022,Neap,2/24/22,24-Feb,13:55:00,2/24/22 13:55,1645739700,L,LL,24-Feb-L,4,Chemical,Well 3,Depth 4,-1.088136,-1,44.97,10.186416,Deep,14.1,6.6,2.23,69.690176,7.5,1.927648911,170.9895978,40.09845494,1.701481445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W4D2,February 2022,Neap,2/24/22,24-Feb,14:10:00,2/24/22 14:10,1645740600,L,LL,24-Feb-L,4,Chemical,Well 4,Depth 2,-0.588264,-0.5,35.87,19.2786,Well 4,13,23.5,8,250.0096,7.5,0,162.2080861,4.649096225,0.955355956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W4D3,February 2022,Neap,2/24/22,24-Feb,14:10:00,2/24/22 14:10,1645740600,L,LL,24-Feb-L,4,Chemical,Well 4,Depth 3,-1.00584,-1,35.87,19.2786,Well 4,12.9,19,6.02,188.132224,7.6,0,173.845374,5.391660206,0.955355956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_W4D4,February 2022,Neap,2/24/22,24-Feb,14:10:00,2/24/22 14:10,1645740600,L,LL,24-Feb-L,4,Chemical,Well 4,Depth 4,-1.76784,-1.75,35.87,19.2786,Well 4,13.2,14.2,5.72,178.756864,7.7,0,210.1137313,5.617657939,0.209230468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240222_L_SW,February 2022,Neap,2/24/22,24-Feb,14:20:00,2/24/22 14:20,1645741200,L,LL,24-Feb-L,4,Chemical,Seawater,Depth 4,1,1,NA,45.72,Seawater,13.1,33.1,8.72,272.510464,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250222_H_W4D1,February 2022,Neap,2/25/22,25-Feb,5:42:00,2/25/22 5:42,1645796520,H,HH,25-Feb-H,5,Microbial,Well 4,Depth 1,-0.420624,-0.25,35.87,19.2786,Well 4,8.8,22,10.25,320.3248,8.2,0,127.5818001,3.906532245,0.141400878,159534.0019,152.2559052,160.2536643,0.304541367,0.020683595,0.301320125,0.322131651,0.057249496,0.011577847,0.145480675,0.246559746,0.289372589,0.733067364,15.09931998,1.460681323,0.935394345
250222_H_W4D2,February 2022,Neap,2/25/22,25-Feb,5:42:00,2/25/22 5:42,1645796520,H,HH,25-Feb-H,5,Microbial,Well 4,Depth 2,-0.588264,-0.5,35.87,19.2786,Well 4,9.4,22.4,8.89,277.823168,8.2,0,129.2238714,4.552240054,0,83857.6164,177.8830543,196.6648104,0.432433323,0.022742911,0.401407308,0.442604462,0.076369284,0,0.213834543,0.354670529,0.374588057,0.697909045,16.63431944,1.409889754,0.906921061
250222_H_W4D3,February 2022,Neap,2/25/22,25-Feb,5:42:00,2/25/22 5:42,1645796520,H,HH,25-Feb-H,5,Microbial,Well 4,Depth 3,-1.00584,-1,35.87,19.2786,Well 4,10,13.7,4.08,127.504896,8.2,0,162.1366917,4.778237787,0,85902.92412,266.8037666,230.7199412,0.483072831,0.031174641,0.406814025,0.602013144,0.112186458,0,0.310686003,0.41696949,0.493732833,0.791384147,17.10998789,1.152091817,0.675756051
250222_H_W4D4,February 2022,Neap,2/25/22,25-Feb,5:42:00,2/25/22 5:42,1645796520,H,HH,25-Feb-H,5,Microbial,Well 4,Depth 4,-1.76784,-1.75,35.87,19.2786,Well 4,9.6,13.5,4.37,136.567744,8.2,0,224.7495841,5.71451411,1.294503906,95720.40116,242.4504817,242.3929262,0.483520148,0.032254943,0.406875338,0.603317877,0.124015507,0.036966126,0.360126408,0.41715858,0.551613439,0.869748979,17.235321,1.057786058,0.67439629
250222_H_SW,February 2022,Neap,2/25/22,25-Feb,6:09:00,2/25/22 6:09,1645798140,H,HH,25-Feb-H,5,Microbial,Seawater,Depth 4,1,1,NA,30.48,Seawater,9.6,32.8,10.33,322.824896,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
